epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.84209,1.5939,3.77322,1.52158,0.00976,0.38179,0.03818,0.02373,1.22251,3.71953,1.24697,0.00093,0.00031,0.00093,0.00031,0.00093,0.00031,0.00093,0.00031
2,14.5714,1.40367,3.65668,1.39898,0.01224,0.43201,0.084,0.05444,1.18263,3.59394,1.20069,0.00185258,0.000617526,0.00185258,0.000617526,0.00185258,0.000617526,0.00185258,0.000617526
3,20.1583,1.3446,3.404,1.33955,0.23304,0.07489,0.14426,0.09555,1.19022,3.22958,1.18886,0.00273714,0.00091238,0.00273714,0.00091238,0.00273714,0.00091238,0.00273714,0.00091238
4,25.7176,1.30356,2.97953,1.31036,0.68372,0.1262,0.16985,0.11247,1.19536,2.39443,1.20106,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,31.3176,1.26578,2.571,1.29886,0.84894,0.18728,0.23015,0.14862,1.17357,1.9642,1.17258,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,36.8891,1.27884,2.31105,1.2986,0.78819,0.25246,0.26583,0.17054,1.14275,1.85743,1.17446,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,42.5088,1.20523,2.06177,1.25695,0.82264,0.24458,0.27244,0.1657,1.15417,1.79378,1.18454,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,48.0257,1.21183,1.95187,1.27691,0.69401,0.29892,0.31075,0.19039,1.11684,1.67673,1.17571,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,53.5382,1.1679,1.82869,1.24471,0.78239,0.29583,0.33288,0.22085,1.08627,1.55914,1.15564,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,59.1082,1.18941,1.80483,1.24117,0.77052,0.34469,0.36823,0.24067,1.1061,1.52062,1.15817,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
