epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.3201,1.5521,3.74577,1.46356,0.01023,0.37979,0.04376,0.02869,1.28527,3.71757,1.28947,0.00093,0.00031,0.00093,0.00031,0.00093,0.00031,0.00093,0.00031
2,12.8528,1.41631,3.59303,1.39127,0.01329,0.45241,0.1069,0.06293,1.16712,3.55302,1.20505,0.00187129,0.000623763,0.00187129,0.000623763,0.00187129,0.000623763,0.00187129,0.000623763
3,17.3524,1.39276,3.25508,1.36479,0.95573,0.05,0.16063,0.09447,1.20674,2.98461,1.21969,0.00279357,0.00093119,0.00279357,0.00093119,0.00279357,0.00093119,0.00279357,0.00093119
4,21.6317,1.3612,2.8175,1.34039,0.74564,0.18781,0.20735,0.13004,1.17093,2.15437,1.20852,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,25.8328,1.33125,2.4751,1.33408,0.58822,0.24966,0.2337,0.14845,1.17251,2.07076,1.18967,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,30.0688,1.34778,2.29391,1.34099,0.58394,0.23087,0.23089,0.1471,1.17885,1.83832,1.18902,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,34.1908,1.27735,2.07966,1.30081,0.65247,0.26582,0.2624,0.17059,1.14678,1.72314,1.18351,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,38.2049,1.28275,2.03117,1.31855,0.65155,0.31257,0.29965,0.1963,1.13926,1.69345,1.1791,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,42.2967,1.23138,1.90214,1.27999,0.74552,0.30588,0.32863,0.21261,1.13452,1.60406,1.17244,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,46.3947,1.26891,1.86757,1.28608,0.72929,0.35214,0.34855,0.22848,1.12574,1.5924,1.16068,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,50.4845,1.22667,1.84449,1.26927,0.74185,0.36872,0.36263,0.23557,1.10362,1.56723,1.1346,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,54.5412,1.19284,1.73997,1.24722,0.75097,0.35821,0.37382,0.24872,1.08494,1.49353,1.12406,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,58.6038,1.17274,1.69421,1.22452,0.72217,0.35641,0.37918,0.25366,1.10485,1.45249,1.13011,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,62.8295,1.17964,1.68734,1.24117,0.71167,0.37241,0.39662,0.25765,1.10578,1.45704,1.13467,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,66.9573,1.15063,1.64534,1.21591,0.58258,0.41389,0.4161,0.26905,1.07813,1.39018,1.11686,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,71.1995,1.14868,1.60994,1.21642,0.61705,0.44391,0.42405,0.27358,1.0647,1.36474,1.11646,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,75.4743,1.12853,1.58343,1.2041,0.70099,0.41725,0.45724,0.29829,1.04478,1.3447,1.10553,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,79.8593,1.1413,1.62949,1.22403,0.69136,0.40829,0.44353,0.29882,1.04908,1.33753,1.1102,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
19,84.239,1.12783,1.57567,1.20647,0.7299,0.41822,0.44638,0.29928,1.04092,1.31897,1.10989,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
20,88.4825,1.11803,1.50791,1.19743,0.45431,0.45429,0.42943,0.28894,1.06902,1.32853,1.10564,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
21,92.7024,1.10604,1.53715,1.18484,0.50823,0.4278,0.43638,0.28958,1.05118,1.33063,1.09856,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
22,96.9437,1.10865,1.50958,1.19021,0.46028,0.4801,0.44676,0.29675,1.04283,1.3079,1.10002,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
23,101.157,1.08462,1.54086,1.18198,0.48605,0.48266,0.47028,0.30927,1.03416,1.30642,1.09599,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
24,105.41,1.10494,1.47221,1.18699,0.56322,0.41851,0.47814,0.31866,1.02142,1.26525,1.0953,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723
25,109.626,1.06183,1.45256,1.1645,0.52478,0.45419,0.46665,0.32077,1.04778,1.29889,1.10814,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
26,113.841,1.06902,1.45683,1.16585,0.56755,0.46784,0.47648,0.32458,1.02598,1.26646,1.09356,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
27,118.079,1.06216,1.40239,1.1653,0.54049,0.46505,0.4618,0.31819,1.0266,1.27996,1.09317,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
28,122.141,1.05078,1.3756,1.14644,0.49711,0.48101,0.47781,0.32355,1.03832,1.27889,1.09795,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327
29,126.244,1.08618,1.45121,1.17787,0.6233,0.40727,0.49617,0.32982,1.0368,1.26292,1.09914,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
30,130.587,1.03751,1.40059,1.15154,0.63896,0.44728,0.48275,0.32585,1.02939,1.25285,1.10407,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,134.981,1.03813,1.39552,1.15092,0.58312,0.4622,0.48597,0.32106,1.01975,1.23903,1.09252,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,139.278,1.03804,1.37888,1.1547,0.5919,0.46651,0.4729,0.31459,1.04476,1.24106,1.10419,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,143.601,1.03469,1.38458,1.14074,0.59137,0.47906,0.47861,0.31402,1.04335,1.24062,1.09598,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,147.881,1.05176,1.41012,1.16157,0.57275,0.45147,0.4849,0.30829,1.03635,1.23535,1.09778,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,152.196,1.01054,1.34684,1.1276,0.62104,0.46553,0.49342,0.31948,1.03782,1.22867,1.09749,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,156.514,1.03125,1.32994,1.13763,0.61129,0.45241,0.48434,0.31975,1.03026,1.229,1.09643,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,160.827,1.03029,1.3517,1.13907,0.61409,0.4593,0.4976,0.33247,1.02456,1.22827,1.09519,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,165.262,0.99452,1.32965,1.12646,0.58119,0.45457,0.49044,0.32843,1.0223,1.21781,1.08412,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
